year,make,model,trim,body,transmission,vin,state,qty sold,odometer,color,interior,seller,mmr,sellingprice,saledate
2002,BMW,3 Series,325i,Sedan,automatic,wbaev33422kl75688,ca,0,138709,blue,—,south county lexus at mission viejo,2475,3500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,BMW,X5,4.4i,SUV,automatic,5uxfb33572lh37213,ca,0,100969,silver,—,honda of hayward,5300,4300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Lexus,SC 430,Base,Convertible,automatic,jthfn48y920001730,ca,27,209301,blue,beige,lexus of valencia,2450,4600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Lexus,IS 300,Base,Sedan,manual,jthbd192720049172,ca,19,166739,blue,black,first credit finance,3500,3500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,BMW,X5,3.0i,SUV,automatic,5uxfa53562lv71276,ca,19,127773,green,beige,lobel financial corp,4375,3900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,BMW,5 Series,530i,Sedan,automatic,wbadt63402ch99516,ca,0,159946,black,—,autobahn motors,2675,1300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjgf10u120139592,ca,37,125176,gray,gray,desert auto trade,5400,6600,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2002,BMW,5 Series,525i,Sedan,automatic,wbadt43422gy43168,ca,24,62263,white,gray,high bid trading co inc,3050,8200,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2002,Toyota,Corolla,LE,Sedan,automatic,1nxbr12e52z652438,ca,21,187800,blue,beige,wondries toyota,1400,1100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Lexus,GS 300,Base,Sedan,automatic,jt8bd69s210137879,ca,19,215607,green,beige,county financial services,2425,1950,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Camry,LE,Sedan,automatic,jtdbe32k620019455,ca,24,194275,silver,gray,skyhigh remarketing inc,2750,2700,Wed Jan 21 2015 03:00:00 GMT-0800 (PST)
2001,Land Rover,Discovery Series II,SE,SUV,automatic,saltw15411a715936,ca,0,123762,black,—,rab motors,1675,1100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Toyota,Camry,LE,Sedan,automatic,4t1bf28k41u121872,ca,0,175912,silver,—,concord toyota,2175,1700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Avalon,XLS,Sedan,automatic,4t1bf28b32u225481,ca,31,118164,silver,gray,remarketing by ge/schools first fcu,3775,4250,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2002,Toyota,Prius,Base,Sedan,automatic,jt2bk12u820041397,ca,0,137214,green,—,west coast motors,1975,1800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2001,Toyota,Avalon,XL,Sedan,automatic,4t1bf28b31u125413,ca,33,138904,blue,beige,financial services remarketing (lease),2800,3500,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2001,Land Rover,Range Rover,4.6 HSE,SUV,automatic,salpm16431a447154,ca,34,121719,green,tan,hornburg jaguar,2025,2600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,BMW,3 Series,330Ci,Coupe,manual,wbabn53401ju22669,ca,0,132681,silver,—,carson honda,3700,2100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2001,Toyota,4Runner,SR5,SUV,automatic,jt3gn86r210181659,ca,33,77169,gray,gray,aaero sweet company,5250,9700,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2002,Toyota,Celica,GT,Hatchback,,jtddr38t920141823,ca,0,162246,,,quality acceptance,2425,1600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2002,Toyota,Camry,SE V6,Sedan,automatic,4t1bf32k02u513182,ca,19,210125,silver,black,bob baker toyota of lemon grove,2475,1500,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2001,Land Rover,Discovery Series II,SD,SUV,automatic,saltl15451a711185,ca,27,129096,silver,tan,trade in solutions,1725,1300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Toyota,Corolla,CE,Sedan,automatic,1nxbr12e91z465105,ca,27,152512,black,gray,jimmie johnson kearny mesa chevrolet,1575,1500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2001,BMW,3 Series,325i,Sedan,automatic,wbaav334x1fu93283,ca,24,230576,silver,black,high bid trading co inc,775,1700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,ECHO,Base,Sedan,automatic,jtdbt123720216539,ca,0,168596,blue,gray,mazda of orange,2575,2400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Tacoma,PreRunner,Xtracab,automatic,5tesm92n42z140114,ca,36,167442,silver,gray,redline remarketing,6550,7600,Wed Dec 17 2014 12:05:00 GMT-0800 (PST)
2002,Toyota,Tacoma,Base,Regular Cab,manual,5tenl42nx2z126060,ca,19,293706,white,gray,larry h miller toyota corona,700,2500,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2001,BMW,3 Series,330Ci,Coupe,automatic,wbabn534x1ju33422,ca,0,145784,black,gray,800 loan mart,3600,900,Tue Dec 16 2014 13:00:00 GMT-0800 (PST)
2001,BMW,3 Series,330Ci,Coupe,automatic,wbabn53471ju30283,ca,19,212422,silver,gray,walters auto sales/service inc,2000,1950,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Camry,LE,Sedan,automatic,jtdbe32kx20091100,ca,24,171040,red,purple,v/m auto broker,2825,2800,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2001,BMW,5 Series,525i,Sedan,automatic,wbadt43431gf57248,ca,0,114749,black,black,bmw of monrovia,1875,2450,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2001,BMW,3 Series,330Ci,Coupe,manual,wbabn53451ju22067,ca,19,193837,blue,beige,onemain remarketing services,2075,1800,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2002,toyota,camry,v6 le,,automatic,4t1bf30k024023845,ca,0,267351,black,—,mccauley automotive co,1300,2500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,BMW,7 Series,740i,Sedan,automatic,wbagg83431dn85879,ca,33,118235,black,black,symbolic motor cars,2700,3200,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2001,BMW,3 Series,330Ci,Convertible,,wbabs53451ju87428,ca,0,90266,gray,—,palm springs ford-lincoln-mercury,4750,4900,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Highlander,Base,SUV,automatic,jtegf21a720039652,ca,19,161006,red,beige,high line auto inc,5550,5800,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2001,BMW,7 Series,740iL,Sedan,automatic,wbagh83431dp33168,ca,1,1,black,beige,axcess financial,4675,2500,Wed Mar 04 2015 07:10:00 GMT-0800 (PST)
2001,Lexus,IS 300,Base,Sedan,automatic,jthbd182510005641,ca,0,331856,silver,—,south county lexus at mission viejo,1475,2100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Camry Solara,SE V6,Convertible,automatic,2t1ff28p12c549690,ca,0,209631,white,—,agoura motorcar co inc,1050,1700,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,Toyota,Tundra,SR5,Extended Cab,,5tbrt3419ys004178,ca,0,219937,black,—,v/m auto broker,3000,3000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2000,BMW,3 Series,323Ci,Convertible,manual,wbabr3348yeg02058,ca,2,116389,blue,gray,check into cash inc.,2850,2200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,Toyota,4Runner,SR5,SUV,automatic,jt3gn86r9y0146806,ca,19,242711,white,brown,premium auto wholesale,2425,2400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,Toyota,Corolla,CE,Sedan,automatic,1nxbr12e9yz352698,ca,0,162569,gold,—,kv motorsports,1325,1700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,automatic,jt6hf10u7y0117085,ca,44,137910,white,beige,desert auto trade,3725,5700,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,automatic,jt6hf10u6y0123265,ca,27,168400,silver,black,magnussens lexus of fremont,3550,3650,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2000,toyota,sienna,le,,automatic,4t3zf13c5yu213440,ca,0,237510,white,—,apexcars net,1825,1325,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2000,toyota,sienna,xle,,automatic,4t3zf13c3yu301239,ca,23,198168,white,beige,onemain remarketing services,2125,1000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2000,Toyota,Corolla,CE,Sedan,automatic,1nxbr12e4yz349563,ca,0,118833,white,—,j s auto brokers,1775,2000,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2000,Toyota,Avalon,XL,Sedan,,4t1bf28bxyu053426,ca,19,148882,white,beige,ideal transportation,2425,1850,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2000,Toyota,Camry Solara,SE,Coupe,automatic,2t1cg22p1yc352455,ca,19,237523,white,beige,hertz remarketing,1350,1100,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2000,Toyota,Corolla,CE,Sedan,,1nxbr12e6yz405891,ca,29,155562,silver,gray,the car exchange,1400,1800,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Toyota,Tundra,SR5,Access Cab,,5tbrt34171s147359,ca,25,173992,black,gray,premium auto wholesale,3225,4300,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2001,Toyota,Tundra,Limited,Access Cab,automatic,5tbbt48111s133345,ca,0,313050,white,—,mccauley automotive co,1800,4300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2000,toyota,sienna,xle,,automatic,4t3zf13c2yu206770,ca,19,169987,gray,gray,800 loan mart,2325,1300,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,toyota,sienna,le,,automatic,4t3zf13c4yu268588,ca,0,151539,gold,—,concord toyota,2275,2700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2000,BMW,M,Base,Convertible,manual,wbsck9349ylc89928,ca,38,72535,blue,black,porsche of downtown la,10850,10750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2000,Toyota,RAV4,Base,SUV,automatic,jt3gp10v3y7071759,ca,2,194978,silver,black,time finance co,2100,1700,Wed Dec 17 2014 12:05:00 GMT-0800 (PST)
2000,BMW,5 Series,540i,Wagon,automatic,wbadr6348ygn91378,ca,0,137661,silver,—,lodi toyota lodi scion,2775,1000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2000,Toyota,Tundra,SR5,Extended Cab,automatic,5tbbt4412ys046764,ca,19,175460,white,beige,premium auto wholesale,3725,3500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2000,Lexus,RX 300,Base,SUV,,jt6hf10u5y0163062,ca,27,97223,white,tan,veros credit,4025,5700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Toyota,Sequoia,Limited,SUV,automatic,5tdzt38a91s036068,ca,19,237449,gray,silver,bob baker toyota of lemon grove,3350,2200,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2002,Land Rover,Range Rover,4.6 HSE,SUV,automatic,salpm16482a465392,ca,2,115630,white,beige,credit acceptance corp/vrs/southfield,2075,400,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
2002,BMW,5 Series,530i,Sedan,automatic,wbadt63452ch91119,ca,0,177432,silver,—,savarani motors,2225,1800,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Avalon,XLS,Sedan,automatic,4t1bf28b72u238637,ca,2,205842,white,beige,aaero sweet company,3025,3100,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,automatic,wbaev33402kl77990,ca,0,169061,black,gray,kearny pearson kia,2375,2500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Lexus,ES 300,Base,Sedan,automatic,jthbf30g725002175,ca,42,62619,black,beige,newport lexus,5875,8500,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2002,Toyota,Avalon,XL,Sedan,automatic,4t1bf28b92u256217,ca,0,158166,beige,—,apexcars net,3175,3800,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,BMW,X5,3.0i,SUV,automatic,5uxfa53592lp48869,ca,19,147035,silver,black,southwest auto inc,3975,3300,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjgf10u920129277,ca,0,231974,silver,gray,bob baker volkswagen subaru,4425,3700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30f820052719,ca,0,198724,silver,—,lexus of stevens creek,5825,4550,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,BMW,5 Series,530i,Sedan,,wbadt63482ch93804,ca,0,205718,silver,—,premium auto wholesale,1375,1800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2002,BMW,3 Series,325Ci,Convertible,automatic,wbabs33412pg82707,ca,0,113330,blue,gray,bmw of san diego,4625,3700,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2002,Lexus,LS 430,Base,Sedan,automatic,jthbn30fx20074320,ca,32,162878,black,tan,carpower trading inc,6875,5000,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2002,BMW,5 Series,525i,Sedan,automatic,wbadt43492gz95030,ca,35,118370,silver,black,arrowhead auto group inc,2550,3500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2002,Lexus,RX 300,Base,SUV,automatic,jtjhf10u720276962,ca,1,123096,gray,tan,fresno lexus,5275,2800,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2002,BMW,7 Series,745i,Sedan,automatic,wbagl63452dp57752,ca,19,185517,black,black,prestige auto wholesale inc,2575,2400,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2002,BMW,X5,4.4i,SUV,automatic,5uxfb33582lh38841,ca,0,105797,silver,gray,bmw of san diego,5125,5700,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
2002,BMW,X5,3.0i,SUV,automatic,5uxfa535x2lp52042,ca,0,147832,white,—,apexcars net,3800,4200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,BMW,3 Series,330xi,Sedan,,wbaew53472pg08768,ca,0,196951,silver,—,beverly hills bmw,1975,2100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2002,Toyota,Corolla,CE,Sedan,automatic,1nxbr12e82z625895,ca,0,199754,—,tan,gama motors,1175,1500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Prius,Base,Sedan,automatic,jt2bk18u020068956,ca,27,161912,silver,gray,a ffordable cars,1750,2450,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2001,BMW,5 Series,530i,Sedan,automatic,wbadt63421cf08450,ca,28,132978,green,tan,orange coast chrysler jeep dodge,2950,2000,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2001,BMW,X5,4.4i,SUV,automatic,wbafb33571lh18657,ca,0,164638,gold,beige,poway honda,2800,2100,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Sienna,LE,Minivan,automatic,4t3zf13c12u507537,ca,0,156147,beige,—,auto trade center,2900,3400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Lexus,ES 300,Base,Sedan,,jt8bf28g110314342,ca,22,93282,gold,beige,mercedes benz of laguna niguel,3850,3700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,BMW,X5,3.0i,SUV,automatic,wbafa53521lm89977,ca,27,183783,burgundy,black,aaero sweet company,2700,2400,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2002,Toyota,Camry,SE V6,Sedan,automatic,4t1bf30k22u502218,ca,0,166231,white,—,california fleet inc,2850,3450,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2002,Toyota,Highlander,Base,SUV,automatic,jtehf21a520062335,ca,0,131463,silver,—,galaxy european,5475,3900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Toyota,Camry,LE,Sedan,automatic,jtdbe32k920057844,ca,0,175639,white,—,billion dodge chrysler jeep,2800,3400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Toyota,Celica,GT,Hatchback,automatic,jtddr32t210095646,ca,0,148643,silver,—,toyota of orange,2175,2000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,BMW,5 Series,525i,Wagon,automatic,wbads43411gd85076,ca,0,80740,blue,—,apexcars net,4125,2500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Lexus,LS 430,Base,Sedan,automatic,jthbn30f310022476,ca,19,173297,gold,tan,logistics leasing,6150,6900,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
