year,make,brand,body,transmission,state,qty sold,mileage,outer color,interior color,seller,costprice,sellingprice,salemonth
2002,BMW,3 Series,Sedan,automatic,ca,0,138709,blue,â€”,south county lexus at mission viejo,2475,3500,Dec
2002,BMW,X5,SUV,automatic,ca,0,100969,silver,â€”,honda of hayward,5300,4300,Dec
2002,Lexus,SC 430,Convertible,automatic,ca,27,209301,blue,beige,lexus of valencia,2450,4600,Dec
2002,Lexus,IS 300,Sedan,manual,ca,19,166739,blue,black,first credit finance,3500,3500,Dec
2002,BMW,X5,SUV,automatic,ca,19,127773,green,beige,lobel financial corp,4375,3900,Dec
2002,BMW,5 Series,Sedan,automatic,ca,0,159946,black,â€”,autobahn motors,2675,1300,Dec
2002,Lexus,RX 300,SUV,automatic,ca,37,125176,gray,gray,desert auto trade,5400,6600,Dec
2002,BMW,5 Series,Sedan,automatic,ca,24,62263,white,gray,high bid trading co inc,3050,8200,Dec
2002,Toyota,Corolla,Sedan,automatic,ca,21,187800,blue,beige,wondries toyota,1400,1100,Dec
2001,Lexus,GS 300,Sedan,automatic,ca,19,215607,green,beige,county financial services,2425,1950,Dec
2002,Toyota,Camry,Sedan,automatic,ca,24,194275,silver,gray,skyhigh remarketing inc,2750,2700,Jan
2001,Land Rover,Discovery Series II,SUV,automatic,ca,0,123762,black,â€”,rab motors,1675,1100,Dec
2001,Toyota,Camry,Sedan,automatic,ca,0,175912,silver,â€”,concord toyota,2175,1700,Dec
2002,Toyota,Avalon,Sedan,automatic,ca,31,118164,silver,gray,remarketing by ge/schools first fcu,3775,4250,Dec
2002,Toyota,Prius,Sedan,automatic,ca,0,137214,green,â€”,west coast motors,1975,1800,Dec
2001,Toyota,Avalon,Sedan,automatic,ca,33,138904,blue,beige,financial services remarketing (lease),2800,3500,Dec
2001,Land Rover,Range Rover,SUV,automatic,ca,34,121719,green,tan,hornburg jaguar,2025,2600,Dec
2001,BMW,3 Series,Coupe,manual,ca,0,132681,silver,â€”,carson honda,3700,2100,Dec
2001,Toyota,4Runner,SUV,automatic,ca,33,77169,gray,gray,aaero sweet company,5250,9700,Dec
2002,Toyota,Celica,Hatchback,automatic,ca,0,162246,,,quality acceptance,2425,1600,Dec
2002,Toyota,Camry,Sedan,automatic,ca,19,210125,silver,black,bob baker toyota of lemon grove,2475,1500,Dec
2001,Land Rover,Discovery Series II,SUV,automatic,ca,27,129096,silver,tan,trade in solutions,1725,1300,Dec
2001,Toyota,Corolla,Sedan,automatic,ca,27,152512,black,gray,jimmie johnson kearny mesa chevrolet,1575,1500,Dec
2001,BMW,3 Series,Sedan,automatic,ca,24,230576,silver,black,high bid trading co inc,775,1700,Dec
2002,Toyota,ECHO,Sedan,automatic,ca,0,168596,blue,gray,mazda of orange,2575,2400,Dec
2002,Toyota,Tacoma,Xtracab,automatic,ca,36,167442,silver,gray,redline remarketing,6550,7600,Dec
2002,Toyota,Tacoma,Regular Cab,manual,ca,19,293706,white,gray,larry h miller toyota corona,700,2500,Jan
2001,BMW,3 Series,Coupe,automatic,ca,0,145784,black,gray,800 loan mart,3600,900,Dec
2001,BMW,3 Series,Coupe,automatic,ca,19,212422,silver,gray,walters auto sales/service inc,2000,1950,Dec
